"V1","V2","V3"
-36.618,-1.1612,13.31
-36.973,-4.1238,15.299
-34.781,-10.396,14.614
-38.343,-6.283,16.105
-38.36,-4.6738,1.5109
-37.858,-12.503,-1.7212
-39.308,-7.5832,3.2616
-39.509,-11.26,-8.4174
-43.937,-12.143,-6.3639
-39.323,-14.875,-5.9025
-38.875,-19.031,-2.3554
-42.463,-19.861,1.2258
-37.639,-22.312,1.8277
-39.773,-14.45,10.941
-37.147,-17.343,14.96
-40.189,-11.108,6.7344
-35.904,-18.657,5.8767
-35.867,-24.222,6.2958
-32.815,-23.998,14.204
-35.085,-19.116,18.713
-40.171,-22.318,11.438
-34.741,-25.647,11.049
-35.063,-27.659,15.788
-39.963,-31.115,12.249
-35.711,-31.325,17.87
-47.852,-2.2858,-7.7616
-52.486,1.092,-3.3742
-48.221,-6.0562,-4.7594
-57.504,7.4579,-10.377
-54.973,0.64387,-12.506
-59.25,4.9375,-6.7777
-60.855,1.575,-2.7349
-57.912,-5.5838,-5.6269
-61.717,-2.4254,1.2263
-49.452,0.2337,-20.782
-52.056,-3.6918,-20.78
-50.644,-2.4403,-17.157
-58.202,2.6829,-24.459
-62.281,-3.3367,-24.49
-56.969,-1.5231,-21.138
-56.262,-5.6739,-18.428
-61.08,-8.2943,-14.874
-55.183,-9.7088,-15.173
-53.216,-8.7271,-9.9052
-55.699,-11.622,-7.8562
-51.973,-5.5896,-13.7
-49.541,-10.848,-14.252
-53.512,-14.97,-13.81
-51.971,-17.412,-8.0732
-58.097,-15.442,-5.3261
-56.936,-18.438,-11.631
-50.797,-19.339,-11.519
-48.693,-22.23,-7.8673
-51.653,-27.058,-5.9458
-48.005,-25.336,-4.1733
-46.137,-27.952,8.6465
-45.555,-31.425,12.805
-48.029,-20.807,10.349
-47.09,-24.359,8.2132
-53.344,-23.751,8.229
-60.363,-20.552,8.7693
-60.767,-25.674,10.634
-46.58,-14.204,2.1641
-45.735,-16.172,7.7132
-48.264,-10.767,-1.7113
-52.549,-7.4794,3.2736
-61.388,-8.6677,3.1594
-60.212,-17.041,5.495
-68.1,-20.178,5.0724
-53.192,-17.246,5.5467
-60.186,-13.244,3.4379
-65.819,-12.659,-2.594
-62.017,-22.798,-0.63035
-62.561,-26.346,2.3629
-60.096,-18.761,-2.4942
-54.322,-24.004,-2.4098
-49.167,-28.894,-1.5325
-52.868,-32.125,13.509
-46.697,-34.809,16.176
-68.033,-29.089,9.7782
-60.334,-29.761,11.569
-59.957,-32.869,14.157
-66.616,-35.897,13.831
-60.069,-35.923,16.836
-56.423,-30.829,2.335
-63.587,-30.634,3.6931
-48.462,-34.52,-1.79
-49.993,-31.746,1.0555
-51.076,-35.126,3.2043
-47.391,-39.347,4.2246
-51.194,-37.579,6.1384
-63.519,-38.116,8.199
-62.825,-41.854,11.029
-63.7,-34.545,6.0106
-57.307,-37.429,7.1357
-51.461,-40.707,8.2094
-56.499,-43.41,12.782
-60.95,-43.963,14.158
-47.081,-43.496,9.8433
-51.393,-42.932,11.373
-50.727,-44.658,14.547
-45.725,-46.252,15.713
-49.341,-46.074,17.227
-39.152,12.145,8.7171
-36.145,11.236,11.672
-36.676,21.76,9.2465
-32.559,21.75,11.035
-33.666,15.996,10.639
-33.488,9.0024,11.739
-34.206,5.685,8.6713
-37.742,28.377,2.8761
-33.722,30.089,3.2533
-32.46,25.859,7.2201
-43.25,32.297,-5.1087
-39.82,29.964,-4.3435
-36.37,30.989,-0.85407
-30.391,28.689,1.9123
-31.408,24.767,-0.22387
-33.021,21.294,3.786
-33.577,11.143,7.361
-37.245,2.7044,4.8844
-30.959,19.496,8.8468
-32.106,16,5.583
-34.894,11.88,2.0817
-39.41,-1.6238,-0.088113
-39.228,6.6622,-1.68
-39.979,2.5688,-0.80882
-38.139,-4.8658,-4.5841
-39.602,-8.2416,-10.152
-48.913,31.629,-13.771
-47.149,27.148,-13.898
-43.337,28.658,-7.988
-40.327,37.8,-13.374
-38.819,33.904,-12.991
-42.536,31.619,-15.395
-43.379,23.453,-13.707
-38.142,22.393,-13.369
-35.512,24.541,-9.5188
-32.611,39.812,-11.67
-30.059,36.319,-10.622
-34.132,35.506,-10.683
-26.283,40.759,-15.377
-24.909,36.292,-15.738
-25.898,36.41,-11.839
-28.19,33.275,-14.133
-27.158,29.237,-17.054
-30.915,30.975,-19.209
-39.892,24.4,-18.565
-33.101,22.618,-13.384
-37.539,31.862,-15.559
-36.658,29.7,-20.076
-34.944,23.724,-22.124
-29.216,21.089,-12.984
-29.137,20.332,-10.241
-31.286,19.135,-20.105
-30.507,20.41,-16.205
-30.588,16.971,-13.4
-34.605,10.41,-15.89
-36.761,8.144,-14.594
-39.852,-5.9188,-11.931
-44.183,-5.407,-11.848
-38.17,10.028,-3.1588
-39.042,0.092017,-7.0343
-39.903,-3.7596,-13.309
-39.856,-1.6405,-14.195
-43.704,-0.44131,-16.074
-29.688,26.367,-3.3973
-35.106,20.9,-3.1162
-36.027,27.57,-4.8388
-32.188,26.399,-6.5062
-29.424,23.34,-7.1358
-39.135,5.4951,-8.8245
-39.683,0.46663,-14.543
-37.968,13.671,-5.232
-34.887,17.299,-7.6699
-31.358,18.719,-8.3686
-39.177,2.69,-14.387
-42.127,3.0821,-19.84
-36.476,12.931,-11.094
-38.263,5.2186,-14.166
-38.991,5.6348,-21.234
-47.554,1.197,-10.395
-46.111,6.6782,-16.049
-46.989,4.1894,-13.095
-50.539,8.6418,-8.7703
-55.65,9.6445,-14.377
-42.886,10.881,-21.114
-44.875,8.937,-18.78
-36.803,12.666,-25.92
-40.192,12.243,-23.328
-42.693,19.739,-23.721
-43.143,18.981,-32.565
-46.613,15.41,-28.112
-53.319,11.85,-18.829
-52.178,5.3605,-20.037
-47.803,15.368,-15.6
-49.865,13.423,-23.601
-46.215,9.4741,-28.557
-49.416,2.8888,-25.339
-49.709,10.859,-33.21
-50.904,7.6132,-28.512
-54.06,4.4066,-26.809
-58.203,1.0583,-31.125
-52.308,-0.49127,-33.734
-55.378,-4.4826,-30.924
-47.464,11.261,-40.343
-50.856,4.1077,-37.675
-46.505,-0.42956,-34.623
-44.854,-0.51683,-40.181
-49.674,-4.448,-37.49
-36.587,21.916,-36.872
-41.349,16.107,-39.857
-34.358,10.631,-27.992
-34.219,16.878,-31.443
-29.192,18.891,-38.22
-24.737,14.39,-37.225
-30.059,11.437,-41.411
-41.729,4.6905,-43.821
-42.233,-0.34986,-46.929
-40.427,8.7432,-40.213
-35.031,6.9143,-40.642
-29.456,7.5531,-45.974
-34.147,-3.2522,-46.569
-40.776,-8.3577,-45.95
-26.077,2.6089,-42.986
-30.179,0.61007,-44.693
-31.82,-3.1424,-41.047
-29.781,-4.9645,-36.764
-32.919,-7.7924,-38.694
-31.676,11.958,-17.364
-34.728,6.7854,-19.388
-29.483,19.993,-24.542
-27.827,17.259,-18.071
-28.956,12.205,-18.183
-26.636,11.918,-18.759
-29.867,6.5624,-17.476
-23.194,28.471,-15.542
-25.705,25.972,-20.426
-23.058,38.2,-20.398
-22.602,32.954,-16.749
-21.07,29.759,-18.243
-19.463,31.168,-23.86
-20.001,25.877,-20.33
-25.003,15.37,-24.055
-24.847,11.254,-19.851
-24.648,21.449,-23.118
-21.409,21.465,-20.867
-18.691,21.505,-22.222
-21.868,10.476,-21.2
-25.185,7.5751,-17.572
-13.757,22.092,-25.954
-17.258,15.821,-24.458
-17.233,12.241,-20.692
-14.54,15.748,-18.236
-18.505,9.4922,-19.066
-24.616,-3.5212,-36.829
-26.197,-7.2808,-35.132
-21.829,4.3937,-36.491
-22.744,0.17355,-37.964
-23.748,-2.3669,-30.083
-29.061,-3.382,-26.262
-28.227,-4.9641,-27.833
-28.317,9.2059,-30.115
-24.197,8.5317,-33.425
-31.948,7.9846,-25.758
-30.955,5.4305,-22.698
-30.653,3.3301,-20.224
-27.958,-1.178,-25.326
-28.527,-3.6192,-21.327
-25.051,2.9375,-28.81
-28.057,1.5422,-23.759
-29.473,2.6279,-17.748
-26.575,0.62711,-16.773
-27.288,-5.1124,-19.01
-26.329,3.7121,-16.546
-23.25,4.3693,-16.406
-20.278,4.6233,-16.392
-18.819,-8.4621,-31.599
-27.12,-12.451,-33.803
-32.008,-7.053,-26.369
-25.262,-7.1059,-27.36
-21.161,-10.046,-25.01
-25.848,-13.546,-23.835
-18.884,-15.272,-23.721
-25.818,-5.9748,-17.38
-31.101,-7.4464,-20.822
-17.332,5.1895,-16.281
-21.836,0.51726,-14.623
-23.693,-5.9969,-16.129
-21.266,-6.0285,-15.373
-28.109,-10.022,-15.726
-31.816,-11.846,-23.139
-29.603,-16.241,-21.264
-34.683,-8.7223,-23.759
-34.739,-10.676,-20.183
-32.281,-13.223,-17.338
-33.509,-18.95,-18.459
-28.88,-20.292,-18.781
-28.933,-14.882,-14.456
-36.198,-16.449,-16.791
-36.866,-21.372,-15.595
-35.46,-23.153,-12.165
-35.99,-26.053,-13.749
-20.254,43.65,-18.955
-17.837,40.743,-21.119
